"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
1282,19,"BGD","Bangladesh",5,"Rajshahi",20,"Pabna",53,"Sirajgonj","","Sirajganj|Sirajgonj","Zila","District"
1283,19,"BGD","Bangladesh",5,"Rajshahi",21,"Rajshahi",54,"Naogaon","","","Zila","District"
1284,19,"BGD","Bangladesh",5,"Rajshahi",21,"Rajshahi",55,"Natore","","Natore|Nador|Nator","Zila","District"
1285,19,"BGD","Bangladesh",5,"Rajshahi",21,"Rajshahi",56,"Nawabganj","","Nawabganj|Chapai Nababgonj|Chapai Nawabganj|Chapai Nowab Ganj","Zila","District"
1286,19,"BGD","Bangladesh",5,"Rajshahi",21,"Rajshahi",57,"Rajshahi","","","Zila","District"
1287,19,"BGD","Bangladesh",5,"Rajshahi",22,"Ranpur",58,"Gaibanda","","Gaibandha|Gaibanda","Zila","District"
1288,19,"BGD","Bangladesh",5,"Rajshahi",22,"Ranpur",59,"Kurigram","","","Zila","District"
1289,19,"BGD","Bangladesh",5,"Rajshahi",22,"Ranpur",60,"Lalmonirhat","","","Zila","District"
1290,19,"BGD","Bangladesh",5,"Rajshahi",22,"Ranpur",61,"Nilphamari","","","Zila","District"
1291,19,"BGD","Bangladesh",5,"Rajshahi",22,"Ranpur",62,"Rongpur","","Rangpur|Rongpur","Zila","District"
1292,19,"BGD","Bangladesh",6,"Sylhet",23,"Sylhet",63,"Hobiganj","","Habiganj|Hobiganj|Hobigonj","Zila","District"
1293,19,"BGD","Bangladesh",6,"Sylhet",23,"Sylhet",64,"Moulvibazar","","Moulvibazar|Maulvi Bazar|Moulabi Bazar|Moulavi Bazar|Moulovibazar","Zila","District"
1294,19,"BGD","Bangladesh",6,"Sylhet",23,"Sylhet",65,"Sun Amgonj","","Sunamganj|Sun Amgonj","Zila","District"
1295,19,"BGD","Bangladesh",6,"Sylhet",23,"Sylhet",66,"Sylhet","","","Zila","District"
